"state","year","cohens_h","h_interpretation"
"CA",2015,0.189609343869892,"Balanced"
"TX",2015,0.0611844885358523,"Balanced"
"IL",2015,0.183247208229307,"Balanced"
"NC",2015,0.154568054746269,"Balanced"
"MO",2015,0.217804010856164,"Mildly Imbalanced"
"WA",2015,0.107154208981375,"Balanced"
"OH",2015,0.0249373296583805,"Balanced"
"NY",2015,-0.0865455146593562,"Balanced"
"FL",2015,-0.14431185919885,"Balanced"
"TN",2015,0.04833588195685,"Balanced"
"SC",2015,0.0598444465460021,"Balanced"
"AZ",2015,-0.0219581930705526,"Balanced"
"NJ",2015,-0.0591973362488177,"Balanced"
"PA",2015,-0.138234685260259,"Balanced"
"CO",2015,0.00427537562464009,"Balanced"
"NE",2015,0.117691356107417,"Balanced"
"CT",2015,0.0431311763198789,"Balanced"
"VA",2015,-0.0723648958569305,"Balanced"
"GA",2015,-0.129190402269557,"Balanced"
"MA",2015,-0.0827097553674399,"Balanced"
"IA",2015,0.00284453528223558,"Balanced"
"NV",2015,0.00416746913078014,"Balanced"
"MI",2015,-0.188531618500552,"Balanced"
"MS",2015,-0.0114344078643349,"Balanced"
"WI",2015,-0.102260500218126,"Balanced"
"OK",2015,-0.0769501340977363,"Balanced"
"SD",2015,0.0375085488791754,"Balanced"
"MD",2015,-0.144422276309632,"Balanced"
"NH",2015,-0.00275464261848565,"Balanced"
"MT",2015,0.0107695234981382,"Balanced"
"KS",2015,-0.0954579031933613,"Balanced"
"LA",2015,-0.153302289842085,"Balanced"
"VT",2015,-0.0122862484566835,"Balanced"
"KY",2015,-0.159181252960843,"Balanced"
"RI",2015,-0.0345247876682037,"Balanced"
"MN",2015,-0.181702747050577,"Balanced"
"ND",2015,-0.0264908258134687,"Balanced"
"IN",2015,-0.243208925486289,"Mildly Imbalanced"
"ID",2015,-0.11113783760732,"Balanced"
