"state","year","cohens_h","h_interpretation"
"AZ",2014,0.378118266326143,"Mildly Overstop Male"
"CA",2014,0.396735370161457,"Mildly Overstop Male"
"CO",2014,0.348712730804358,"Mildly Overstop Male"
"CT",2014,0.289286880180441,"Mildly Overstop Male"
"FL",2014,0.361957886166687,"Mildly Overstop Male"
"GA",2014,0.256660485430988,"Mildly Overstop Male"
"IA",2014,0.332586599859812,"Mildly Overstop Male"
"IL",2014,0.286056855880685,"Mildly Overstop Male"
"KS",2014,0.153887976115539,"Balanced"
"LA",2014,0.421436476330328,"Mildly Overstop Male"
"MA",2014,0.401694157494268,"Mildly Overstop Male"
"MD",2014,0.288147644902519,"Mildly Overstop Male"
"MN",2014,0.324097671779039,"Mildly Overstop Male"
"MS",2014,0.234661922332443,"Mildly Overstop Male"
"MT",2014,0.343492650208739,"Mildly Overstop Male"
"NC",2014,0.257953176012524,"Mildly Overstop Male"
"ND",2014,0.447756046330641,"Mildly Overstop Male"
"NH",2014,0.270177623095825,"Mildly Overstop Male"
"NJ",2014,0.409278672151064,"Mildly Overstop Male"
"NV",2014,0.144367360053604,"Balanced"
"NY",2014,0.339907927361379,"Mildly Overstop Male"
"OH",2014,0.390071018462371,"Mildly Overstop Male"
"OK",2014,0.277055254387257,"Mildly Overstop Male"
"PA",2014,0.579263575481019,"Overstop Male"
"RI",2014,0.460259309050647,"Mildly Overstop Male"
"SC",2014,0.327173369204526,"Mildly Overstop Male"
"SD",2014,0.417067349022688,"Mildly Overstop Male"
"TN",2014,0.319880573319322,"Mildly Overstop Male"
"TX",2014,0.352635540344374,"Mildly Overstop Male"
"VT",2014,0.286369171584777,"Mildly Overstop Male"
"WA",2014,0.309048205622415,"Mildly Overstop Male"
"WI",2014,0.307888573878908,"Mildly Overstop Male"
