"state","cohens_h_2014","cohens_h_2015","h_interpretation_2014","h_interpretation_2015"
"CA",0.194825278429147,0.189609343869892,"Balanced","Balanced"
"TX",0.0675221413521493,0.0611844885358523,"Balanced","Balanced"
"IL",0.167011563944956,0.183247208229307,"Balanced","Balanced"
"NC",0.146666268809352,0.154568054746269,"Balanced","Balanced"
"MO",0.215142968124892,0.217804010856164,"Mildly Imbalanced","Mildly Imbalanced"
"WA",0.09588631837475,0.107154208981375,"Balanced","Balanced"
"OH",0.0105606066955476,0.0249373296583805,"Balanced","Balanced"
"FL",-0.125678486029976,-0.14431185919885,"Balanced","Balanced"
"NY",-0.0930604684648567,-0.0865455146593562,"Balanced","Balanced"
"TN",0.0462570571584977,0.04833588195685,"Balanced","Balanced"
"SC",0.0653238850445049,0.0598444465460021,"Balanced","Balanced"
"CT",0.0768423497347888,0.0431311763198789,"Balanced","Balanced"
"AZ",-0.0226484251373978,-0.0219581930705526,"Balanced","Balanced"
"CO",0.00215078890012171,0.00427537562464009,"Balanced","Balanced"
"NE",0.111222636075334,0.117691356107417,"Balanced","Balanced"
"NJ",-0.0763832423027339,-0.0591973362488177,"Balanced","Balanced"
"VA",-0.074148207798354,-0.0723648958569305,"Balanced","Balanced"
"PA",-0.177697430624551,-0.138234685260259,"Balanced","Balanced"
"GA",-0.12015326650486,-0.129190402269557,"Balanced","Balanced"
"MA",-0.070977995635602,-0.0827097553674399,"Balanced","Balanced"
"MD",-0.0570816282256955,-0.144422276309632,"Balanced","Balanced"
"IA",-0.0126705259365254,0.00284453528223558,"Balanced","Balanced"
"NV",0.00313388125853736,0.00416746913078014,"Balanced","Balanced"
"MS",-0.0167742153682477,-0.0114344078643349,"Balanced","Balanced"
"WI",-0.112692771103648,-0.102260500218126,"Balanced","Balanced"
"MI",-0.204987524537538,-0.188531618500552,"Mildly Imbalanced","Balanced"
"OK",-0.0630022703828231,-0.0769501340977363,"Balanced","Balanced"
"OR",-0.0869080021798599,NA,"Balanced",NA
"SD",0.0301265720950102,0.0375085488791754,"Balanced","Balanced"
"NH",-0.00698739329599879,-0.00275464261848565,"Balanced","Balanced"
"MT",0.00316886820992902,0.0107695234981382,"Balanced","Balanced"
"KS",-0.0974483994620955,-0.0954579031933613,"Balanced","Balanced"
"ND",-0.00392815712580957,-0.0264908258134687,"Balanced","Balanced"
"VT",-0.00992606551733555,-0.0122862484566835,"Balanced","Balanced"
"LA",-0.168277391495615,-0.153302289842085,"Balanced","Balanced"
"RI",-0.0361608875997973,-0.0345247876682037,"Balanced","Balanced"
"MN",-0.18938599044835,-0.181702747050577,"Balanced","Balanced"
"IN",-0.248888909280552,-0.243208925486289,"Mildly Imbalanced","Mildly Imbalanced"
"ID",-0.11113783760732,-0.11113783760732,"Balanced","Balanced"
"KY",NA,-0.159181252960843,NA,"Balanced"
